2023-12-02 21:43:17.187 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-12-02 21:43:17.315 [main] INFO  c.w.backend.WebAppBackEndApplication - Starting WebAppBackEndApplication v0.0.1-SNAPSHOT using Java 17.0.9 with PID 11812 (D:\KhaiHoan\WebApp\target\WebApp-0.0.1-SNAPSHOT.jar started by Innotech in D:\KhaiHoan\WebApp\target)
2023-12-02 21:43:17.318 [main] INFO  c.w.backend.WebAppBackEndApplication - No active profile set, falling back to 1 default profile: "default"
2023-12-02 21:43:18.938 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-02 21:43:19.064 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 111 ms. Found 6 JPA repository interfaces.
2023-12-02 21:43:20.234 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-12-02 21:43:20.248 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-12-02 21:43:20.254 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-02 21:43:20.254 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-12-02 21:43:20.411 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-02 21:43:20.413 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2997 ms
2023-12-02 21:43:20.651 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-12-02 21:43:20.772 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2023-12-02 21:43:20.787 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-12-02 21:43:21.305 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-12-02 21:43:21.352 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-02 21:43:22.173 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7ce9e05a
2023-12-02 21:43:22.176 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-02 21:43:24.182 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2023-12-02 21:43:25.147 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-12-02 21:43:25.615 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-12-02 21:43:27.510 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-12-02 21:43:29.422 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@58945295, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b63365c, org.springframework.security.web.context.SecurityContextHolderFilter@460aa24e, org.springframework.security.web.header.HeaderWriterFilter@3b3f62d7, org.springframework.security.web.authentication.logout.LogoutFilter@52fec840, com.webapp.backend.security.jwt.JwtRequestFilter@513fab1e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@17f8cad6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7a85dc58, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6839d03b, org.springframework.security.web.session.SessionManagementFilter@7676b2b9, org.springframework.security.web.access.ExceptionTranslationFilter@ea0c99c, org.springframework.security.web.access.intercept.AuthorizationFilter@357cdb00]
2023-12-02 21:43:29.971 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-12-02 21:43:30.014 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-12-02 21:43:30.040 [main] INFO  c.w.backend.WebAppBackEndApplication - Started WebAppBackEndApplication in 13.611 seconds (process running for 14.346)
2023-12-02 21:43:34.146 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-12-02 21:43:34.152 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-12-02 21:43:34.258 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
